i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
291;https://openalex.org/I100930933;UNIVERSITY COLLEGE DUBLIN;University College Dublin;53.2862, -6.22091;53.33306, -6.24889;5532.0;True
296;https://openalex.org/I141766778;TEAGASC - AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY;Teagasc - The Irish Agriculture and Food Development Authority;53.329555, -6.2298706;52.84083, -6.92611;71522.0;False
298;https://openalex.org/I141816643;Natural Environment Research Council;Natural Environment Research Council;54.205318, -2.9042506;51.55797, -1.78116;303855.0;True
299;https://openalex.org/I194019607;UNIVERSITY OF IOANNINA;University of Ioannina;;39.66486, 20.85189;;True
300;https://openalex.org/I16835326;UNIVERSITY OF ST ANDREWS;University of St Andrews;56.3410596, -2.7934395;56.33871, -2.79902;432.0;True
301;https://openalex.org/I16097986;UNIVERSITAT DE VALENCIA;Universitat de València;39.4995728, -0.4381253;39.47391, -0.37966;5772.0;False
308;https://openalex.org/I897542642;University of Plymouth;University of Plymouth;50.3742534, -4.1382042;50.37153, -4.14305;458.0;True
310;https://openalex.org/I155765044;Universität Hildesheim;University of Hildesheim;52.1338788, 9.9669813;52.15077, 9.95112;2168.0;True
311;https://openalex.org/I4210140958;Independent;Ann Arbor Center for Independent Living;;42.27756, -83.74088;;False
312;https://openalex.org/I28407311;University of Manchester;University of Manchester;53.4648712, -2.2323652;53.48095, -2.23743;1819.0;True
320;https://openalex.org/I32062511;Heriot-Watt University;Heriot-Watt University;;55.95206, -3.19648;;True
321;https://openalex.org/I4210105663;DEUTSCHES HERZZENTRUM BERLIN;Deutsches Herzzentrum der Charité;52.5427282, 13.3483139;52.52437, 13.41053;4677.0;True
323;https://openalex.org/I4210163751;DANSK SYGEHUS INSTITUT;Dansk Sygehus Institut;55.679284, 12.5605871;55.67594, 12.56553;484.0;True
328;https://openalex.org/I200777214;UNIVERSITY OF ATHENS;National and Kapodistrian University of Athens;37.9599776, 23.7575424;37.98376, 23.72784;3711.0;True
329;https://openalex.org/I205274468;TRINITY COLLEGE;Trinity College Dublin;53.3428719, -6.2437941;53.33306, -6.24889;1142.0;False
331;https://openalex.org/I87653560;VTT TECHNICAL RESEARCH CENTRE FINLAND;VTT Technical Research Centre of Finland;61.4981508, 23.7610254;60.2052, 24.6522;151652.0;False
333;https://openalex.org/I98677209;University of Edinburgh;University of Edinburgh;55.9448776, -3.1977154;55.95206, -3.19648;802.0;True
335;https://openalex.org/I109541847;Medical Research Council (MRC);LifeArc;51.52271, -0.146985;51.50853, -0.12574;2156.0;False
336;https://openalex.org/I121797337;LEIDEN UNIVERSITY;Leiden University;52.1565007, 4.4863205;52.15833, 4.49306;503.0;True
337;https://openalex.org/I913958620;ERASMUS UNIVERSITEIT ROTTERDAM;Erasmus University Rotterdam;51.9179749, 4.5261741;51.9225, 4.47917;3263.0;True
338;https://openalex.org/I80043;INSTITUT CURIE;Institut Curie;;48.85341, 2.3488;;True
339;https://openalex.org/I121797337;Rijksuniversiteit Leiden;Leiden University;52.1667505, 4.4619917;52.15833, 4.49306;2317.0;True
340;https://openalex.org/I121797337;Leiden University;Leiden University;52.169887, 4.4679478;52.15833, 4.49306;2141.0;True
